Source No_;CustomerName;Item No_;ItemDescription;UnitOfMeasure;Oprindelse;Quantity;Amount;NettoWeight;TotalWeight;Ecology;
3586;Rigshospitalet Glostrup;Ø251H;Kogte jævne kartofler a 1 kg, øko, ps;PS;DANMARK;8457;218210;1000;8457000;1; 25,80 kr. 
3586;Rigshospitalet Glostrup;Ø26,1H;Kogte kartofler i tern a 3 kg, ØKO, ps;PS;DANMARK;266;23193;3000;798000;1; 87,19 kr. 
3586;Rigshospitalet Glostrup;Ø26H;Kogte kartofler i skiver a 3 kg, ØKO, ps;PS;DANMARK;452;35556;3000;1356000;1; 78,66 kr. 
3586;Rigshospitalet Glostrup;Ø80073H;Kartofler store skrællede a 3 kg, ØKO, ps;PS;DANMARK;365;27720;3000;1095000;1; 75,95 kr. 
3586;Rigshospitalet Glostrup;Ø85313H;Kartoffeltern12x12 mm a 3 kg, ØKO, ps;PS;DANMARK;6;450;3000;18000;1; 75,00 kr. 
3586;Rigshospitalet Glostrup;Ø85513H;Kartoffelbåde m/skræl a 3 kg, øko, ps;PS;DANMARK;135;10125;3000;405000;1; 75,00 kr. 
;;;;;;;;;;;
;;;;;;;;;;;
3592;Rigshospitalet Centralkøkken;25;Kogte jævne kartofler a 3 kg, ps (Danica);PS;DANMARK;1;89,1;3000;3000;0; 89,10 kr. 
3592;Rigshospitalet Centralkøkken;80053H;Skræl små kartofler a 3 kg,ps;STK;DANMARK;573;44685;3000;1719000;0; 77,98 kr. 
3592;Rigshospitalet Centralkøkken;80063H;Skrællede jævne kartofler a 3 kg,ps;STK;DANMARK;1;78;3000;3000;0; 78,00 kr. 
3592;Rigshospitalet Centralkøkken;80073H;Skrællede store kartofler a 3 kg, ps;STK;DANMARK;8;624;3000;24000;0; 78,00 kr. 
3592;Rigshospitalet Centralkøkken;85313H;Kartofler i tern12x12 mm a 3 kg, ps;STK;DANMARK;130;10140;3000;390000;0; 78,00 kr. 
3592;Rigshospitalet Centralkøkken;85323H;Kartoffeltern 20x20mm a 3 kg,ps;STK;DANMARK;57;4446;3000;171000;0; 78,00 kr. 
3592;Rigshospitalet Centralkøkken;85323H;Kartoffeltern 20x20mm a 3 kg,ps;STK;DANMARK;-1;-78;3000;-3000;0; 78,00 kr. 
3592;Rigshospitalet Centralkøkken;85413H;Kartoffelskiver 4mm a 3 kg, ps;STK;DANMARK;6;468;3000;18000;0; 78,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø24H;Forkogte små kartofler a 3 kg, ØKO, ps;PS;DANMARK;2;150;3000;6000;1; 75,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø251H;Kogte jævne kartofler a 1 kg, øko, ps;PS;DANMARK;21;525;1000;21000;1; 25,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø25H;Kogte jævne kartofler a 3 kg, øko, ps;PS;DANMARK;2;150;3000;6000;1; 75,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø26,1H;Kogte kartofler i tern a 3 kg, ØKO, ps;PS;DANMARK;9;675;3000;27000;1; 75,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø80033H;Raspede små kartofler a 3 kg, ØKO, ps;PS;DANMARK;3;225;3000;9000;1; 75,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø80053H;Kartofler små Skrællede a 3 kg, ØKO, ps;PS;DANMARK;664;50214;3000;1992000;1; 75,62 kr. 
3592;Rigshospitalet Centralkøkken;Ø80073H;Kartofler store skrællede a 3 kg, ØKO, ps;PS;DANMARK;61;4575;3000;183000;1; 75,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø85313H;Kartoffeltern12x12 mm a 3 kg, ØKO, ps;PS;DANMARK;186;13950;3000;558000;1; 75,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø85323H;Kartoffeltern 20x20mm a 3 kg, ØKO, ps;PS;DANMARK;43;3225;3000;129000;1; 75,00 kr. 
3592;Rigshospitalet Centralkøkken;Ø85413H;Kartoffelskiver 4mm a 3 kg, ØKO, ps;PS;DANMARK;6;450;3000;18000;1; 75,00 kr. 
;;;;;;;;;;;
;;;;;;;;;;;
3605;Bornholms Hospital;Ø24H;Forkogte små kartofler a 3 kg, ØKO, ps;PS;DANMARK;163;13881;3000;489000;1; 85,16 kr. 
3605;Bornholms Hospital;Ø24MH;Forkogte kartofler til mos a 3 kg, ØKO, ps;PS;DANMARK;72;5400;3000;216000;1; 75,00 kr. 
3605;Bornholms Hospital;Ø26,1H;Kogte kartofler i tern a 3 kg, ØKO, ps;PS;DANMARK;5;375;3000;15000;1; 75,00 kr. 
3605;Bornholms Hospital;Ø26H;Kogte kartofler i skiver a 3 kg, ØKO, ps;PS;DANMARK;61;5403;3000;183000;1; 88,57 kr. 
;;;;;;;;;;;
;;;;;;;;;;;
4301;Rigshospitalet Glostrup Kantinen;Ø26;Forkogte kartofler skiver ØKO, ps a 3kg;PS;DANMARK;10;1192,8;3000;30000;1; 119,28 kr. 
4301;Rigshospitalet Glostrup Kantinen;Ø26H;Kogte kartofler i skiver a 3 kg, ØKO, ps;PS;DANMARK;14;1050;3000;42000;1; 75,00 kr. 
4301;Rigshospitalet Glostrup Kantinen;Ø80073H;Kartofler store skrællede a 3 kg, ØKO, ps;PS;DANMARK;43;3639;3000;129000;1; 84,63 kr. 
4301;Rigshospitalet Glostrup Kantinen;Ø85413H;Kartoffelskiver 4mm a 3 kg, ØKO, ps;PS;DANMARK;10;1440;3000;30000;1; 144,00 kr. 
